id	node1	node1;label	label	label;label	node2	node2;label
ckg:c1	ckgT1	Temporal	is_a	rdf:type	ckg:KnowledgeContext	
ckg:c2	ckgT1	Temporal	ckgr1	ckg:Represented By	P580	'start time'@en
ckg:c3	P580	'start time'@en	ckgr2	ckg:Contextualizes	P1365	'replaces'@en
ckg:c4	ckgT1	Temporal	ckgr1	ckg:Represented By	P582	'end time'@en
ckg:c5	P582	'end time'@en	ckgr2	ckg:Contextualizes	P1365	'replaces'@en
ckg:c6	ckgT1	Temporal	ckgr1	ckg:Represented By	P585	'point in time'@en
ckg:c7	P585	'point in time'@en	ckgr2	ckg:Contextualizes	P1365	'replaces'@en
ckg:c8	ckgT1	Temporal	ckgr1	ckg:Represented By	P576	'dissolved, abolished or demolished date'@en
ckg:c9	P576	'dissolved, abolished or demolished date'@en	ckgr2	ckg:Contextualizes	P1365	'replaces'@en
ckg:c10	ckgL1	Location	is_a	rdf:type	ckg:KnowledgeContext	
ckg:c11	ckgL1	Location	ckgr1	ckg:Represented By	P518	'applies to part'@en
ckg:c12	P518	'applies to part'@en	ckgr2	ckg:Contextualizes	P1365	'replaces'@en
ckg:c13	ckgL1	Location	ckgr1	ckg:Represented By	P3005	'valid in place'@en
ckg:c14	P3005	'valid in place'@en	ckgr2	ckg:Contextualizes	P1365	'replaces'@en
ckg:c15	ckgP1	Provenance	is_a	rdf:type	ckg:KnowledgeContext	
ckg:c16	ckgP1	Provenance	ckgr1	ckg:Represented By	P92	'main regulatory text'@en
ckg:c17	P92	'main regulatory text'@en	ckgr2	ckg:Contextualizes	P1365	'replaces'@en
ckg:c20	ckgP1	Provenance	ckgr1	ckg:Represented By	P828	'has cause'@en
ckg:c21	P828	'has cause'@en	ckgr2	ckg:Contextualizes	P1365	'replaces'@en
ckg:c22	ckgP1	Provenance	ckgr1	ckg:Represented By	P805	'statement is subject of'@en
ckg:c23	P805	'statement is subject of'@en	ckgr2	ckg:Contextualizes	P1365	'replaces'@en
ckg:c24	ckgP1	Provenance	ckgr1	ckg:Represented By	P1478	'has immediate cause'@en
ckg:c25	P1478	'has immediate cause'@en	ckgr2	ckg:Contextualizes	P1365	'replaces'@en
ckg:c26	ckgP1	Provenance	ckgr1	ckg:Represented By	P3680	'statement supported by'@en
ckg:c27	P3680	'statement supported by'@en	ckgr2	ckg:Contextualizes	P1365	'replaces'@en
ckg:c28	P518	'applies to part'@en	ckgr2	ckg:Contextualizes	P3896	'geoshape'@en
